model,MAE,RMSE,Mean Tweedie Deviance
TweedieRegressor,134.08401722163117,378.2336268883745,51.5078271460569
HistGradientBoostingRegressor,131.98311582817547,374.6138590822912,49.81189137097702
PoissonRegressor (frequency),0.13906674764227647,0.4877340457771778,1.6357313921650742
