feature,importance
BonusMalus,8.148925406537137
Exposure,3.4098270387930825
DrivAge,1.145736312007068
bonus_malus_band,0.7146298646139371
driver_age_band,0.33941353567289523
Region,0.31905296797237953
VehAge,0.23724265311199133
VehBrand,0.1411096638037293
VehPower,0.10427601447878487
VehGas,0.06522510873286365
Density,0.06394267977420895
vehicle_age_band,0.04166298747541077
Area,-0.007602644253574908
density_band,-0.03331335805274875
